tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group B,2,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,3,1,2,0,3,2,1,5,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group B,3,9678d2a4-5323-5082-b115-575366fb384a,Paraguay,PRY,3,1,0,2,2,2,0,3,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group B,4,017c48cb-b97e-5de7-b7cd-7df9586d9d34,Trinidad and Tobago,TTO,3,0,1,2,0,4,-4,1,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group C,1,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,3,2,1,0,8,1,7,7,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group C,2,d522b940-a152-5cc7-bcb3-89e28a1ce459,Netherlands,NLD,3,2,1,0,3,1,2,7,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group C,3,e31e86e8-0616-5e05-a842-dc8f67c29ca4,Ivory Coast,CIV,3,1,0,2,5,6,-1,3,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group C,4,ed749800-82e2-5bb8-a684-8bdf061d889d,Serbia and Montenegro,SCG,3,0,0,3,2,10,-8,0,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group D,1,13eebf0f-eb49-5e70-97f9-84f0395ceff1,Portugal,PRT,3,3,0,0,5,1,4,9,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group D,2,c832b30c-2750-5a24-a66f-cf9ea7c20a5c,Mexico,MEX,3,1,1,1,4,3,1,4,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group D,3,153c6112-4054-5bec-b238-3f80b76f05c6,Angola,AGO,3,0,2,1,1,2,-1,2,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group D,4,f22d85b4-6cde-5f4e-8119-b3b69a2ba879,Iran,IRN,3,0,1,2,2,6,-4,1,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group E,1,a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,3,2,1,0,5,1,4,7,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group E,2,55f8040d-0098-5415-abdf-66098ef3bbee,Ghana,GHA,3,2,0,1,4,3,1,6,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group E,3,ad708552-b621-5809-9ae6-02de989608b3,Czech Republic,CZE,3,1,0,2,3,4,-1,3,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group E,4,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,3,0,1,2,2,6,-4,1,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group F,1,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,3,3,0,0,7,1,6,9,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group F,2,2d9898be-ff8f-55ef-a86e-167bdeaf3cc6,Australia,AUS,3,1,1,1,5,5,0,4,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group F,3,0db8bc49-3546-517c-af2c-7abd04ae2214,Croatia,HRV,3,0,2,1,2,3,-1,2,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group F,4,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,3,0,1,2,2,7,-5,1,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group G,1,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,3,2,1,0,4,0,4,7,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group G,2,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,3,1,2,0,3,1,2,5,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group G,3,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,3,1,1,1,3,4,-1,4,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group G,4,1f887746-2115-54a3-a7da-7b8a619f858e,Togo,TGO,3,0,0,3,1,6,-5,0,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group H,1,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,3,3,0,0,8,1,7,9,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group H,2,27b5664b-2e3e-52cd-a1df-0f1e60869c68,Ukraine,UKR,3,2,0,1,5,4,1,6,TRUE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group H,3,b627769a-7468-5b82-85ee-a38f3d71a3c6,Tunisia,TUN,3,0,1,2,3,6,-3,1,FALSE
d52279b1-f4bd-5228-862f-a0a23d6cd16d,2006 FIFA Men's World Cup,1,group stage,Group H,4,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,3,0,1,2,2,7,-5,1,FALSE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group A,1,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,3,2,1,0,13,0,13,7,TRUE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group A,2,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,3,1,2,0,8,3,5,5,TRUE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group A,3,230373b7-3a16-506a-b5f6-acc37d7e801d,Japan,JPN,3,1,1,1,3,4,-1,4,FALSE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group A,4,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,3,0,0,3,1,18,-17,0,FALSE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group B,1,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,3,2,1,0,5,2,3,7,TRUE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group B,2,58ce2aac-d181-51c6-9f50-fc3e8643d0e1,North Korea,PRK,3,1,1,1,5,4,1,4,TRUE
eae9dec6-fcb0-5343-8f9b-c07e3895e50a,2007 FIFA Women's World Cup,1,group stage,Group B,3,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,3,1,1,1,3,4,-1,4,FALSE
